claim_id,decision,escalated,tool_calls_count,error
claim-000,escalate,True,3,
claim-001,escalate,True,3,
claim-002,escalate,True,3,
claim-003,approve,False,5,
claim-004,escalate,True,3,
claim-005,approve,False,5,
claim-006,escalate,True,3,
claim-007,escalate,True,3,
claim-008,approve,False,5,
claim-009,escalate,True,3,
claim-010,escalate,True,4,
claim-011,escalate,True,3,
claim-012,approve,False,4,
claim-013,escalate,True,4,
claim-014,approve,False,4,
claim-015,deny,False,2,
claim-016,escalate,True,1,
claim-017,escalate,True,2,
claim-018,escalate,True,2,
claim-019,escalate,True,2,
